dito1,dito2,dito3,dito4,target
5767,4754,6149,3830,0
5767,4754,6149,3830,0
5768,4753,6157,3831,0
5768,4753,6157,3831,0
5768,4757,6166,3829,0
5768,4757,6166,3829,0
5768,4756,6170,3832,0
5768,4756,6170,3832,0
5768,4754,6162,3832,0
5768,4754,6162,3832,0
5767,4754,6165,3832,0
5767,4754,6165,3832,0
5768,4755,6157,3835,0
5768,4755,6157,3835,0
5767,4760,6154,3834,0
5767,4760,6154,3834,0
5768,4762,6163,3835,0
5768,4762,6163,3835,0
5767,4763,6172,3835,0
5767,4763,6172,3835,0
5767,4765,6176,3835,0
5767,4765,6176,3835,0
5767,4768,6171,3833,0
5767,4768,6171,3833,0
5768,4759,6165,3824,0
5768,4759,6165,3824,0
5768,4751,6154,3819,0
5768,4751,6154,3819,0
5618,4710,6132,3798,0
5618,4710,6132,3798,0
4709,4653,6080,3756,0
4709,4653,6080,3756,0
4358,4580,6018,3692,0
4358,4580,6018,3692,0
4293,4470,5921,3601,0
4293,4470,5921,3601,0
4288,4410,5878,3576,0
4288,4410,5878,3576,0
4153,4281,5756,3461,0
4153,4281,5756,3461,0
4039,4127,5641,3311,0
4039,4127,5641,3311,0
3992,4036,5554,3258,0
3992,4036,5554,3258,0
4013,4078,5592,3300,0
4013,4078,5592,3300,0
4337,4149,5648,3412,0
4337,4149,5648,3412,0
4484,4165,5667,3444,0
4484,4165,5667,3444,0
4455,4102,5618,3395,0
4455,4102,5618,3395,0
4355,4062,5572,3321,0
4355,4062,5572,3321,0
4177,4048,5565,3280,0
4177,4048,5565,3280,0
4057,4022,5553,3230,0
4057,4022,5553,3230,0
4348,4081,5609,3294,0
4348,4081,5609,3294,0
4457,4113,5628,3319,0
4457,4113,5628,3319,0
4457,4108,5619,3352,0
4457,4108,5619,3352,0
4529,4127,5625,3385,0
4529,4127,5625,3385,0
4549,4160,5663,3374,0
4549,4160,5663,3374,0
4458,4160,5662,3367,0
4458,4160,5662,3367,0
4527,4183,5675,3402,0
